No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
1;;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;RH
2;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD
3;;RH;RH;RH;RH;RH;RH;FAM;FAM;FAM;FAM;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;ZA
4;;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH
5;;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH
6;;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH
7;;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;ZA
8;;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;ZA;ZA;RH
9;;CLD;CLD;CLD;CLD;CLD;RH;ZA;ZA;RH;RH;FAM;FAM;FAM;RH;RH;ZA;ZA;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZA;ZA
10;;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;RH;ZB
11;;ZA;ZA;ZA;ZA;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;RH
12;;RH;ZA;ZA;ZA;RH;RH;CA;CA;CA;CA;CA;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;RH
13;;FAM;RH;RH;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;ZA;ZA;RH;RH;FAM;FAM;FAM;FAM;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA
14;;RH;FAM;FAM;RH;RH;RH;ZA;ZA;ZA;RH;CA;RH;RH;FAM;FAM;FAM;FAM;RH;RH;ZA;ZA;RH;RH;FAM;FAM;RH;RH;ZA;ZA;RH
15;;CA;CA;CA;CA;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH
16;;CA;CA;CA;CA;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH
17;;CA;CA;CA;CA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH
