Sum agg res stats

Work Time Stat.0  ; Total work time                         ; 2730:0:0
Work Time Stat.1  ; Effective weighted work time planned    ; 2730:0:0
Work Time Stat.2  ; Initial available time                  ; 4086:36:0
Work Time Stat.3  ; Remaining available time                ; 1034:36:0
Work Time Stat.4  ; Supp time planned                       ; 46:24:0
Work Time Stat.5  ; Supp time allowed                       ; 553:0:0
Work Time Stat.6  ; Contract time                           ; 4086:36:0
Work Time Stat.7  ; Assimilated work time                   ; 0:0:0
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 875:0:0
Work Time Stat.11 ; Effective work time planned             ; 2730:0:0
Work Time Stat.12 ; Start cumulated supp time              ; 310:0:0
Work Time Stat.13 ; End cumulated supp time                ; -171:-36:0

Pref Weekend.0 ; In weekend count                           ; 20.00
Pref Weekend.1 ; Off weekend count                          ; 64.00
Pref Weekend.2 ; Cut weekend count                          ; 24.00
Pref Weekend.3 ; Worked weekend count                       ; 44.00
Pref Weekend.4 ; Worked Sunday count                        ; 32.00
Pref Weekend.5 ; Off Sunday count                           ; 80.00
Pref Weekend.6 ; Weekend off around planned leave           ; 95%
Pref Weekend.7 ; Total weekend around planned leave count   ; 20.00
Pref Weekend.8 ; Off weekend around planned leave count     ; 19.00

Work Period Stat.1.1 ; Work periods number                  ; 99.00
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 4.00
Work Period Stat.1.4 ; Work period mean length              ; 2.53
Work Period Stat.2.1 ; Day work periods number              ; 72.00
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 4.00
Work Period Stat.2.4 ; Day work period mean length          ; 2.62
Work Period Stat.3.1 ; Night work periods number            ; 27.00
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 3.00
Work Period Stat.3.4 ; Night work period mean length        ; 2.26
Work Period Stat.4.1 ; Night activity number                ; 61.00
Work Period Stat.4.2 ; Day activity number                  ; 189.00
Work Period Stat.4.3 ; Total activity number                ; 250.00
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 116.00
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 22.00
Rest Period Stat.3 ; Mean length                            ; 3.81
Rest Period Stat.4 ; Rest number                            ; 442.00
Rest Period Stat.5 ; Isolated rest period nb                ; 8.00

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 240.00
Activity Stat.2  ; Assimilated work activity number         ; 0.00
Activity Stat.3  ; Different activity number                ; 31.00
Activity Stat.4  ; Planned leave number                     ; 63.00
Activity Stat.5  ; Unplanned leave number                   ; 95.00
Activity Stat.6  ; Leave number                             ; 158.00
Activity Stat.7  ; Activity change number                   ; 0.00
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 63.00
Activity Stat.8  ; Activity 'CLD' occurrence nb              ; 95.00
Activity Stat.8  ; Activity 'FAM' occurrence nb              ; 30.00
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 442.00
Activity Stat.8  ; Activity 'ZA' occurrence nb              ; 150.00
Activity Stat.8  ; Activity 'ZB' occurrence nb              ; 60.00

Office Stat.0 ; Different office nb                                   ; 31.00
Office Stat.1 ; Office 'accueil' occurrence nb        ; 30.00
Office Stat.1 ; Office 'soins' occurrence nb        ; 210.00
Office Stat.3 ; Office change number                                  ; 0.00

Sum agg day res stats

Work Time Stat.0  ; Total work time                         ; 2010:0:0
Work Time Stat.1  ; Effective weighted work time planned    ; 2010:0:0
Work Time Stat.2  ; Initial available time                  ; 2616:36:0
Work Time Stat.3  ; Remaining available time                ; 322:36:0
Work Time Stat.4  ; Supp time planned                       ; 46:24:0
Work Time Stat.5  ; Supp time allowed                       ; 360:0:0
Work Time Stat.6  ; Contract time                           ; 2616:36:0
Work Time Stat.7  ; Assimilated work time                   ; 0:0:0
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 644:0:0
Work Time Stat.11 ; Effective work time planned             ; 2010:0:0
Work Time Stat.12 ; Start cumulated supp time              ; 50:0:0
Work Time Stat.13 ; End cumulated supp time                ; 87:24:0

Pref Weekend.0 ; In weekend count                           ; 16.00
Pref Weekend.1 ; Off weekend count                          ; 40.00
Pref Weekend.2 ; Cut weekend count                          ; 16.00
Pref Weekend.3 ; Worked weekend count                       ; 32.00
Pref Weekend.4 ; Worked Sunday count                        ; 24.00
Pref Weekend.5 ; Off Sunday count                           ; 48.00
Pref Weekend.6 ; Weekend off around planned leave           ; 100%
Pref Weekend.7 ; Total weekend around planned leave count   ; 18.00
Pref Weekend.8 ; Off weekend around planned leave count     ; 18.00

Work Period Stat.1.1 ; Work periods number                  ; 72.00
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 4.00
Work Period Stat.1.4 ; Work period mean length              ; 2.62
Work Period Stat.2.1 ; Day work periods number              ; 72.00
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 4.00
Work Period Stat.2.4 ; Day work period mean length          ; 2.62
Work Period Stat.3.1 ; Night work periods number            ; 0.00
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.00
Work Period Stat.3.4 ; Night work period mean length        ; 0.00
Work Period Stat.4.1 ; Night activity number                ; 0.00
Work Period Stat.4.2 ; Day activity number                  ; 189.00
Work Period Stat.4.3 ; Total activity number                ; 189.00
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 84.00
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 6.00
Rest Period Stat.3 ; Mean length                            ; 2.92
Rest Period Stat.4 ; Rest number                            ; 245.00
Rest Period Stat.5 ; Isolated rest period nb                ; 7.00

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 180.00
Activity Stat.2  ; Assimilated work activity number         ; 0.00
Activity Stat.3  ; Different activity number                ; 22.00
Activity Stat.4  ; Planned leave number                     ; 50.00
Activity Stat.5  ; Unplanned leave number                   ; 65.00
Activity Stat.6  ; Leave number                             ; 115.00
Activity Stat.7  ; Activity change number                   ; 0.00
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 50.00
Activity Stat.8  ; Activity 'CLD' occurrence nb              ; 65.00
Activity Stat.8  ; Activity 'FAM' occurrence nb              ; 30.00
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 245.00
Activity Stat.8  ; Activity 'ZA' occurrence nb              ; 150.00

