Mean agg res stats

Work Time Stat.0  ; Total work time                         ; 110:28:41
Work Time Stat.1  ; Effective weighted work time planned    ; 109:33:54
Work Time Stat.2  ; Initial available time                  ; 146:21:39
Work Time Stat.3  ; Remaining available time                ; 15:29:28
Work Time Stat.4  ; Supp time planned                       ; 0:0:0
Work Time Stat.5  ; Supp time allowed                       ; 0:0:0
Work Time Stat.6  ; Contract time                           ; 146:21:39
Work Time Stat.7  ; Assimilated work time                   ; 0:54:46
Work Time Stat.8  ; Planned leave time                      ; 0:0:0
Work Time Stat.9  ; Unplanned leave time                    ; 0:0:0
Work Time Stat.10 ; Leave time                              ; 20:23:28
Work Time Stat.11 ; Effective work time planned             ; 109:33:54
Work Time Stat.12 ; Start cumulated supp time              ; 0:0:0
Work Time Stat.13 ; End cumulated supp time                ; -15:-29:-28

Pref Weekend.0 ; In weekend count                           ; 0.63
Pref Weekend.1 ; Off weekend count                          ; 1.87
Pref Weekend.2 ; Cut weekend count                          ; 1.17
Pref Weekend.3 ; Worked weekend count                       ; 1.80
Pref Weekend.4 ; Worked Sunday count                        ; 1.22
Pref Weekend.5 ; Off Sunday count                           ; 2.78
Pref Weekend.6 ; Weekend off around planned leave           ; 63%
Pref Weekend.7 ; Total weekend around planned leave count   ; 0.65
Pref Weekend.8 ; Off weekend around planned leave count     ; 0.41

Work Period Stat.1.1 ; Work periods number                  ; 4.76
Work Period Stat.1.2 ; Work period min length               ; 0.00
Work Period Stat.1.3 ; Work period max length               ; 0.09
Work Period Stat.1.4 ; Work period mean length              ; 2.01
Work Period Stat.2.1 ; Day work periods number              ; 2.43
Work Period Stat.2.2 ; Day work period min length           ; 0.00
Work Period Stat.2.3 ; Day work period max length           ; 0.09
Work Period Stat.2.4 ; Day work period mean length          ; 2.03
Work Period Stat.3.1 ; Night work periods number            ; 2.33
Work Period Stat.3.2 ; Night work period min length         ; 0.00
Work Period Stat.3.3 ; Night work period max length         ; 0.04
Work Period Stat.3.4 ; Night work period mean length        ; 2.00
Work Period Stat.4.1 ; Night activity number                ; 4.65
Work Period Stat.4.2 ; Day activity number                  ; 4.93
Work Period Stat.4.3 ; Total activity number                ; 9.59
Work Period Stat.4.4 ; Isolated activity number             ; 0.00

Rest Period Stat.0 ; Periods number                         ; 5.26
Rest Period Stat.1 ; Min length                             ; 0.00
Rest Period Stat.2 ; Max length                             ; 0.24
Rest Period Stat.3 ; Mean length                            ; 3.28
Rest Period Stat.4 ; Rest number                            ; 17.24
Rest Period Stat.5 ; Isolated rest period nb                ; 0.39

Activity Stat.0  ; Activity preference score                ; 0.00
Activity Stat.1  ; Effective work activity number           ; 9.13
Activity Stat.2  ; Assimilated work activity number         ; 0.13
Activity Stat.3  ; Different activity number                ; 1.52
Activity Stat.4  ; Planned leave number                     ; 2.00
Activity Stat.5  ; Unplanned leave number                   ; 1.50
Activity Stat.6  ; Leave number                             ; 3.50
Activity Stat.7  ; Activity change number                   ; 0.00
Activity Stat.8  ; Activity 'CA' occurrence nb              ; 2.00
Activity Stat.8  ; Activity 'CLD' occurrence nb              ; 1.50
Activity Stat.8  ; Activity 'RH' occurrence nb              ; 17.24
Activity Stat.8  ; Activity 'TSY' occurrence nb              ; 0.13
Activity Stat.8  ; Activity 'ZA' occurrence nb              ; 4.57
Activity Stat.8  ; Activity 'ZB' occurrence nb              ; 4.57

Office Stat.0 ; Different office nb                                   ; 0.98
Office Stat.1 ; Office 'soins' occurrence nb        ; 9.13
