No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
1;;RH;TP;RH;N;N;N;RH;RH;RH;N;N;RH;RH;N;N;RH;RH;RH;N;N;RH;RH;RH;N;N;RH;RH;RH;RH;RH
2;;N;N;N;RH;RC;RH;RH;N;N;RH;RH;N;N;RH;RH;N;N;RH;RH;RH;N;N;N;RH;RH;RH;RH;RH;N;N
4;;RH;RH;FC;S;S;S;N;RH;RH;J1;J1;RH;RH;RH;S;S;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1
5;;S;S;RH;RH;S;S;S;S;RH;RH;S;S;S;S;RH;RH;J1;J1;RH;RH;RH;S;S;S;S;RH;RH;J2;J2;RH
6;;J1;J1;J1;J1;RH;RH;M;M;M;M;RH;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M;M;RH;RH;RH;RH;S;S
7;;S;S;S;RH;RH;RH;S;S;S;S;S;RH;RH;S;S;S;RH;RH;S;S;S;S;S;RH;RH;S;S;S;RH;RH
8;;RH;RH;M;M;M;M;RH;RH;M;M;M;M;M;RH;RH;RH;S;S;RH;RH;J1;J1;RH;RH;M;M;M;M;M;RH
9;;RH;RH;J2;J2;RH;RH;M;M;RH;RH;M;M;M;M;M;RH;RH;M;M;M;RH;RH;J1;J1;J1;RH;RH;S;S;S
10;;M;M;RH;RH;M;M;RH;RH;S;S;J2;RH;RH;M;M;M;M;M;RH;RH;M;M;M;RH;RH;N;N;N;RH;RH
11;;RH;RH;S;S;RH;RH;CA;CA;CA;CA;CA;RH;RH;J1;J1;J1;RH;RH;S;S;S;RH;RH;S;S;S;S;RH;RH;RH
12;;RH;RH;M;M;RH;RH;CA;CA;CA;CA;CA;RH;RH;J2;J2;RH;RH;CA;M;M;J2;RH;RH;M;M;M;M;RH;RH;M
13;;J2;J2;RH;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;RH;J2;J2;J2;RH;RH;RH;J2;J2;J2;J2;RH;RH;RH;RH;J2
3;;M;M;FC;RH;RH;RH;J1;J1;J1;RH;RH;S;S;RH;RH;M;M;N;RH;RH;CA;CA;CA;CA;CA;RH;RH;M;M;M

