No Agent;;01/04/2025;02/04/2025;03/04/2025;04/04/2025;05/04/2025;06/04/2025;07/04/2025;08/04/2025;09/04/2025;10/04/2025;11/04/2025;12/04/2025;13/04/2025;14/04/2025;15/04/2025;16/04/2025;17/04/2025;18/04/2025;19/04/2025;20/04/2025;21/04/2025;22/04/2025;23/04/2025;24/04/2025;25/04/2025;26/04/2025;27/04/2025;28/04/2025;29/04/2025;30/04/2025
11;;RH;ZB;RH;RH;RH;ZA;CA;CA;CA;CA;CA;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;RH;RH;ZA;RH;RH;RH
12;;ZA;RH;RH;ZB;ZB;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;ZB;RH;RH;RH;ZA
13;;RH;ZB;RH;RH;RH;ZA;CA;CA;CA;CA;CA;RH;RH;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH
14;;ZA;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;CA;ZB;RH;RH;RH;RH;RH;RH;RH;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;RH;RH
15;;CA;CA;CA;CA;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;ZA;RH;RH;RH;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB
16;;CA;CA;CA;CA;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB
17;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH;ZB
18;;RH;RH;ZA;ZA;RH;RH;ZB;ZB;RH;RH;RH;ZA;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;ZA
19;;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;RH;RH
20;;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;ZA;RH;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZB;RH;RH;RH
21;;CA;CA;CA;CA;ZA;RH;RH;ZA;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;ZA;RH;RH;RH
22;;CA;CA;CA;CA;RH;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;ZA;RH;RH;ZA
23;;RH;ZA;ZA;RH;RH;ZA;CA;CA;CA;CA;CA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;RH
24;;RH;ZA;RH;RH;ZB;RH;CA;CA;CA;CA;CA;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA
25;;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;ZB;RH
26;;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA;CA;CA;CA;CA;CA;RH;RH;ZA;RH;RH
27;;RH;RH;RH;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;RH;CA;CA;CA;CA;CA;RH;RH;RH;ZA;ZA
28;;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;CA;CA;CA;CA;CA;RH;RH;ZA;ZA;RH
29;;ZA;ZA;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZB;ZB;ZB;ZB;RH
30;;RH;ZA;RH;RH;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH
31;;RH;RH;ZA;RH;RH;RH;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;ZB;RH;RH
32;;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;ZB;ZB;ZB
33;;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;ZB;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZB;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH
34;;TSY;TSY;TSY;TSY;RH;RH;TSY;TSY;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH
35;;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZB;RH
36;;CLD;CLD;CLD;CLD;RH;ZB;ZB;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB
37;;RH;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;ZA;ZA
38;;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB;RH;RH;RH;ZB;ZB;RH;RH;RH;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;ZB
39;;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD;CLD
40;;ZA;RH;RH;RH;ZA;ZA;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH
41;;RH;RH;ZA;ZA;ZA;RH;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZB;ZB;RH;RH;RH;RH;RH
42;;ZA;RH;RH;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;RH
43;;ZB;ZB;ZB;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;ZB;ZB;ZB;RH;RH;RH;RH;RH;ZB;RH;RH;RH;RH;RH
44;;RH;RH;ZB;ZB;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH;RH;ZB;ZB;RH;RH;RH;ZA;RH;RH;ZA;ZA;RH
45;;ZA;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;ZA;ZA;RH;RH;ZA;RH;RH;ZA;ZA;ZA;RH;RH;ZA;RH
46;;RH;RH;ZA;ZA;ZA;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;RH;RH;RH;RH;ZA;ZA;ZA;ZA;RH;RH;RH;ZA;RH;RH

