metric_code,metric_name,hexaly_value,mathopt_value
Work Time Stat.0,Total work time,121:4:36,121:4:36
Work Time Stat.1,Effective weighted work time planned,120:0:0,120:0:0
Work Time Stat.2,Initial available time,147:0:0,147:0:0
Work Time Stat.3,Remaining available time,33:4:36,33:4:36
Work Time Stat.4,Supp time planned,0:27:41,0:0:0
Work Time Stat.5,Supp time allowed,20:4:36,20:4:36
Work Time Stat.6,Contract time,147:0:0,147:0:0
Work Time Stat.7,Assimilated work time,1:4:36,1:4:36
Work Time Stat.8,Planned leave time,0:0:0,0:0:0
Work Time Stat.9,Unplanned leave time,0:0:0,0:0:0
Work Time Stat.10,Leave time,12:55:23,12:55:23
Work Time Stat.11,Effective work time planned,120:0:0,120:0:0
Work Time Stat.12,Start cumulated supp time,0:0:0,0:0:0
Work Time Stat.13,End cumulated supp time,-13:0:0,-13:0:0
Pref Weekend.0,In weekend count,1.54,1.54
Pref Weekend.1,Off weekend count,2.31,2.23
Pref Weekend.2,Cut weekend count,0.00,0.00
Pref Weekend.3,Worked weekend count,1.54,1.54
Pref Weekend.4,Worked Sunday count,1.54,1.54
Pref Weekend.5,Off Sunday count,2.46,2.46
Pref Weekend.6,Weekend off around planned leave,100%,100%
Pref Weekend.7,Total weekend around planned leave count,0.77,0.77
Pref Weekend.8,Off weekend around planned leave count,0.77,0.77
Work Period Stat.1.1,Work periods number,4.69,4.77
Work Period Stat.1.2,Work period min length,0.00,0.00
Work Period Stat.1.3,Work period max length,0.38,0.38
Work Period Stat.1.4,Work period mean length,3.39,3.23
Work Period Stat.2.1,Day work periods number,3.77,3.77
Work Period Stat.2.2,Day work period min length,0.00,0.00
Work Period Stat.2.3,Day work period max length,0.38,0.38
Work Period Stat.2.4,Day work period mean length,3.61,3.49
Work Period Stat.3.1,Night work periods number,0.92,1.00
Work Period Stat.3.2,Night work period min length,0.00,0.00
Work Period Stat.3.3,Night work period max length,0.23,0.23
Work Period Stat.3.4,Night work period mean length,2.50,2.23
Work Period Stat.4.1,Night activity number,2.31,2.23
Work Period Stat.4.2,Day activity number,13.62,13.15
Work Period Stat.4.3,Total activity number,15.92,15.38
Work Period Stat.4.4,Isolated activity number,0.00,0.00
Rest Period Stat.0,Periods number,5.08,5.15
Rest Period Stat.1,Min length,0.00,0.00
Rest Period Stat.2,Max length,0.54,0.54
Rest Period Stat.3,Mean length,2.58,2.54
Rest Period Stat.4,Rest number,13.08,13.08
Rest Period Stat.5,Isolated rest period nb,0.46,0.38
Activity Stat.0,Activity preference score,0.00,0.00
Activity Stat.1,Effective work activity number,14.77,14.77
Activity Stat.2,Assimilated work activity number,0.15,0.15
Activity Stat.3,Different activity number,3.00,2.54
Activity Stat.4,Planned leave number,2.00,2.00
Activity Stat.5,Unplanned leave number,0.00,0.00
Activity Stat.6,Leave number,2.00,2.00
Activity Stat.7,Activity change number,2.08,0.23
Activity Stat.8,Activity 'CA' occurrence nb,2.00,2.00
Activity Stat.8,Activity 'FC' occurrence nb,0.15,0.15
Activity Stat.8,Activity 'J1' occurrence nb,1.69,1.69
Activity Stat.8,Activity 'J2' occurrence nb,1.62,1.62
Activity Stat.8,Activity 'M' occurrence nb,5.77,5.77
Activity Stat.8,Activity 'N' occurrence nb,2.23,2.23
Activity Stat.8,Activity 'RH' occurrence nb,13.08,13.08
Activity Stat.8,Activity 'S' occurrence nb,3.46,3.46
Office Stat.0,Different office nb,1.77,1.54
Office Stat.1,Office 'hopital de jour' occurrence nb,3.31,3.31
Office Stat.1,Office 'hospitalisation continue' occurrence nb,11.46,11.46
Office Stat.3,Office change number,2.08,0.23
